record_id,timestamp,txid,src_ip,dst_ip,src_port,dst_port,geo_country,asn
net-rec-000000,2026-03-01T08:00:59+00:00,tx_peel_0000,198.51.100.42,106.106.196.163,51765,8333,CH,AS13335
net-rec-000001,2026-03-01T08:02:11+00:00,tx_peel_0001,198.51.100.42,154.158.189.135,48302,8333,CH,AS13335
net-rec-000002,2026-03-01T08:03:03+00:00,tx_peel_0002,198.51.100.42,87.24.147.103,49917,8333,CH,AS13335
net-rec-000003,2026-03-01T08:03:38+00:00,tx_peel_0003,198.51.100.42,13.163.200.162,55987,8333,CH,AS13335
net-rec-000004,2026-03-01T08:04:22+00:00,tx_peel_0004,198.51.100.42,108.14.79.135,56127,8333,CH,AS13335
net-rec-000005,2026-03-01T08:04:58+00:00,tx_peel_0005,198.51.100.42,108.21.200.15,43454,8333,CH,AS13335
net-rec-000006,2026-03-01T08:05:38+00:00,tx_peel_0006,198.51.100.42,112.167.147.51,56952,8333,CH,AS13335
net-rec-000007,2026-03-01T08:07:08+00:00,tx_peel_0007,198.51.100.42,74.60.66.208,44128,8333,CH,AS13335
net-rec-000008,2026-03-01T08:08:11+00:00,tx_peel_0008,198.51.100.42,96.90.226.210,48114,8333,CH,AS13335
net-rec-000009,2026-03-01T08:08:47+00:00,tx_peel_0009,198.51.100.42,156.235.56.188,43615,8333,CH,AS13335
net-rec-000010,2026-03-01T08:09:24+00:00,tx_peel_0010,198.51.100.42,157.40.25.10,57727,8333,CH,AS13335
net-rec-000011,2026-03-01T08:09:56+00:00,tx_peel_0011,198.51.100.42,88.2.77.253,42982,8333,CH,AS13335
net-rec-000012,2026-03-01T08:10:33+00:00,tx_peel_0012,198.51.100.42,106.106.196.163,49981,8333,CH,AS13335
net-rec-000013,2026-03-01T08:11:39+00:00,tx_peel_0013,198.51.100.42,152.131.143.147,51227,8333,CH,AS13335
net-rec-000014,2026-03-01T08:12:49+00:00,tx_peel_0014,198.51.100.42,174.148.92.173,49212,8333,CH,AS13335
net-rec-000015,2026-03-01T08:14:02+00:00,tx_peel_0015,198.51.100.42,187.180.148.210,40064,8333,CH,AS13335
net-rec-000016,2026-03-01T08:15:32+00:00,tx_peel_0016,198.51.100.42,74.63.19.69,41783,8333,CH,AS13335
net-rec-000017,2026-03-01T08:16:54+00:00,tx_peel_0017,198.51.100.42,76.93.247.116,43539,8333,CH,AS13335
net-rec-000018,2026-03-01T08:17:30+00:00,tx_peel_0018,198.51.100.42,67.111.75.202,55315,8333,CH,AS13335
net-rec-000019,2026-03-01T08:18:38+00:00,tx_peel_0019,198.51.100.42,76.93.247.116,40704,8333,CH,AS13335
net-rec-000020,2026-03-01T08:19:19+00:00,tx_peel_0020,198.51.100.42,125.246.102.1,42667,8333,CH,AS13335
net-rec-000021,2026-03-01T08:20:39+00:00,tx_peel_0021,198.51.100.42,112.167.147.51,56303,8333,CH,AS13335
net-rec-000022,2026-03-01T08:21:29+00:00,tx_peel_0022,198.51.100.42,158.23.29.172,53025,8333,CH,AS13335
net-rec-000023,2026-03-01T08:22:13+00:00,tx_peel_0023,198.51.100.42,158.23.29.172,52808,8333,CH,AS13335
net-rec-000024,2026-03-01T08:23:07+00:00,tx_peel_0024,198.51.100.42,187.211.71.236,59250,8333,CH,AS13335
net-rec-000025,2026-03-01T08:23:49+00:00,tx_peel_0025,198.51.100.42,32.122.147.191,47119,8333,CH,AS13335
net-rec-000026,2026-03-01T08:25:17+00:00,tx_peel_0026,198.51.100.42,32.103.129.112,40367,8333,CH,AS13335
net-rec-000027,2026-03-01T08:26:30+00:00,tx_peel_0027,198.51.100.42,54.253.90.158,57750,8333,CH,AS13335
net-rec-000028,2026-03-01T08:27:25+00:00,tx_peel_0028,198.51.100.42,74.60.66.208,56745,8333,CH,AS13335
net-rec-000029,2026-03-01T08:28:35+00:00,tx_peel_0029,198.51.100.42,158.23.29.172,52500,8333,CH,AS13335
net-rec-000030,2026-03-01T08:29:38+00:00,tx_peel_0030,198.51.100.42,32.103.129.112,49837,8333,CH,AS13335
net-rec-000031,2026-03-01T08:30:46+00:00,tx_peel_0031,198.51.100.42,30.186.84.203,48086,8333,CH,AS13335
net-rec-000032,2026-03-01T08:31:31+00:00,tx_peel_0032,198.51.100.42,125.246.102.1,53040,8333,CH,AS13335
net-rec-000033,2026-03-01T08:32:45+00:00,tx_peel_0033,198.51.100.42,13.163.200.162,41371,8333,CH,AS13335
net-rec-000034,2026-03-01T08:33:21+00:00,tx_peel_0034,198.51.100.42,152.131.143.147,40544,8333,CH,AS13335
net-rec-000035,2026-03-01T08:34:31+00:00,tx_peel_0035,198.51.100.42,111.38.34.87,40957,8333,CH,AS13335
net-rec-000036,2026-03-01T08:35:11+00:00,tx_peel_0036,198.51.100.42,187.211.71.236,42027,8333,CH,AS13335
net-rec-000037,2026-03-01T08:36:18+00:00,tx_peel_0037,198.51.100.42,112.167.147.51,47375,8333,CH,AS13335
net-rec-000038,2026-03-01T08:37:32+00:00,tx_peel_0038,198.51.100.42,124.239.91.232,44836,8333,CH,AS13335
net-rec-000039,2026-03-01T08:38:26+00:00,tx_peel_0039,198.51.100.42,23.141.103.68,43098,8333,CH,AS13335
net-rec-000040,2026-03-01T08:39:46+00:00,tx_peel_0040,198.51.100.42,122.107.239.223,45623,8333,CH,AS13335
net-rec-000041,2026-03-01T08:40:43+00:00,tx_peel_0041,198.51.100.42,67.55.220.81,46312,8333,CH,AS13335
net-rec-000042,2026-03-01T08:41:58+00:00,tx_peel_0042,198.51.100.42,32.103.129.112,52765,8333,CH,AS13335
net-rec-000043,2026-03-01T08:42:39+00:00,tx_peel_0043,198.51.100.42,166.62.145.140,58851,8333,CH,AS13335
net-rec-000044,2026-03-01T08:43:12+00:00,tx_peel_0044,198.51.100.42,166.62.145.140,52231,8333,CH,AS13335
net-rec-000045,2026-03-01T08:43:49+00:00,tx_peel_0045,198.51.100.42,78.94.228.150,54035,8333,CH,AS13335
net-rec-000046,2026-03-01T08:45:16+00:00,tx_peel_0046,198.51.100.42,163.148.130.24,51211,8333,CH,AS13335
net-rec-000047,2026-03-01T08:46:13+00:00,tx_peel_0047,198.51.100.42,108.21.200.15,53994,8333,CH,AS13335
net-rec-000048,2026-03-01T08:47:24+00:00,tx_peel_0048,198.51.100.42,76.93.247.116,54606,8333,CH,AS13335
net-rec-000049,2026-03-01T08:48:53+00:00,tx_peel_0049,198.51.100.42,41.223.198.59,52787,8333,CH,AS13335
net-rec-000050,2026-03-01T08:53:53+00:00,tx_fanout_dispersal_001,185.220.101.5,112.167.147.51,9050,8333,DE,AS24940
net-rec-000051,2026-03-01T08:53:54+00:00,tx_dust_0000,203.0.113.88,151.103.130.87,52168,8333,NL,AS16509
net-rec-000052,2026-03-01T08:53:57+00:00,tx_dust_0001,203.0.113.88,158.23.29.172,58672,8333,NL,AS16509
net-rec-000053,2026-03-01T08:53:59+00:00,tx_dust_0002,203.0.113.88,59.83.89.153,56919,8333,NL,AS16509
net-rec-000054,2026-03-01T08:54:01+00:00,tx_dust_0003,203.0.113.88,106.106.196.163,56591,8333,NL,AS16509
net-rec-000055,2026-03-01T08:54:04+00:00,tx_dust_0004,203.0.113.88,41.223.198.59,53955,8333,NL,AS16509
net-rec-000056,2026-03-01T08:54:07+00:00,tx_dust_0005,203.0.113.88,16.198.211.242,51950,8333,NL,AS16509
net-rec-000057,2026-03-01T08:54:09+00:00,tx_dust_0006,203.0.113.88,59.83.89.153,55515,8333,NL,AS16509
net-rec-000058,2026-03-01T08:54:12+00:00,tx_dust_0007,203.0.113.88,108.14.79.135,51765,8333,NL,AS16509
net-rec-000059,2026-03-01T08:54:15+00:00,tx_dust_0008,203.0.113.88,128.180.171.110,51208,8333,NL,AS16509
net-rec-000060,2026-03-01T08:54:18+00:00,tx_dust_0009,203.0.113.88,178.7.198.79,55815,8333,NL,AS16509
net-rec-000061,2026-03-01T08:54:20+00:00,tx_dust_0010,203.0.113.88,178.7.198.79,56699,8333,NL,AS16509
net-rec-000062,2026-03-01T08:54:23+00:00,tx_dust_0011,203.0.113.88,134.45.125.212,57138,8333,NL,AS16509
net-rec-000063,2026-03-01T08:54:25+00:00,tx_dust_0012,203.0.113.88,32.103.129.112,57816,8333,NL,AS16509
net-rec-000064,2026-03-01T08:54:28+00:00,tx_dust_0013,203.0.113.88,106.106.196.163,53005,8333,NL,AS16509
net-rec-000065,2026-03-01T08:54:31+00:00,tx_dust_0014,203.0.113.88,189.34.196.35,59659,8333,NL,AS16509
net-rec-000066,2026-03-01T08:54:34+00:00,tx_dust_0015,203.0.113.88,179.41.137.154,52494,8333,NL,AS16509
net-rec-000067,2026-03-01T08:54:35+00:00,tx_dust_0016,203.0.113.88,13.163.200.162,59716,8333,NL,AS16509
net-rec-000068,2026-03-01T08:54:37+00:00,tx_dust_0017,203.0.113.88,163.148.130.24,57430,8333,NL,AS16509
net-rec-000069,2026-03-01T08:54:39+00:00,tx_dust_0018,203.0.113.88,152.131.143.147,57185,8333,NL,AS16509
net-rec-000070,2026-03-01T08:54:40+00:00,tx_dust_0019,203.0.113.88,108.21.200.15,59635,8333,NL,AS16509
net-rec-000071,2026-03-01T08:54:42+00:00,tx_dust_0020,203.0.113.88,189.34.196.35,51587,8333,NL,AS16509
net-rec-000072,2026-03-01T08:54:43+00:00,tx_dust_0021,203.0.113.88,187.211.71.236,58082,8333,NL,AS16509
net-rec-000073,2026-03-01T08:54:45+00:00,tx_dust_0022,203.0.113.88,37.43.203.47,59242,8333,NL,AS16509
net-rec-000074,2026-03-01T08:54:48+00:00,tx_dust_0023,203.0.113.88,59.83.89.153,58604,8333,NL,AS16509
net-rec-000075,2026-03-01T08:54:51+00:00,tx_dust_0024,203.0.113.88,108.21.200.15,56990,8333,NL,AS16509
net-rec-000076,2026-03-01T08:54:53+00:00,tx_dust_0025,203.0.113.88,152.131.143.147,56292,8333,NL,AS16509
net-rec-000077,2026-03-01T08:54:55+00:00,tx_dust_0026,203.0.113.88,32.103.129.112,52923,8333,NL,AS16509
net-rec-000078,2026-03-01T08:54:56+00:00,tx_dust_0027,203.0.113.88,128.180.171.110,53451,8333,NL,AS16509
net-rec-000079,2026-03-01T08:54:58+00:00,tx_dust_0028,203.0.113.88,96.90.226.210,54558,8333,NL,AS16509
net-rec-000080,2026-03-01T08:55:01+00:00,tx_dust_0029,203.0.113.88,116.109.94.90,55150,8333,NL,AS16509
net-rec-000081,2026-03-01T08:55:02+00:00,tx_dust_0030,203.0.113.88,128.92.40.36,54666,8333,NL,AS16509
net-rec-000082,2026-03-01T08:55:03+00:00,tx_dust_0031,203.0.113.88,91.141.254.84,54716,8333,NL,AS16509
net-rec-000083,2026-03-01T08:55:05+00:00,tx_dust_0032,203.0.113.88,20.188.207.148,57191,8333,NL,AS16509
net-rec-000084,2026-03-01T08:55:06+00:00,tx_dust_0033,203.0.113.88,116.109.94.90,52774,8333,NL,AS16509
net-rec-000085,2026-03-01T08:55:08+00:00,tx_dust_0034,203.0.113.88,178.7.198.79,54250,8333,NL,AS16509
net-rec-000086,2026-03-01T08:55:11+00:00,tx_dust_0035,203.0.113.88,32.103.129.112,51738,8333,NL,AS16509
net-rec-000087,2026-03-01T08:55:12+00:00,tx_dust_0036,203.0.113.88,111.249.115.193,54565,8333,NL,AS16509
net-rec-000088,2026-03-01T08:55:13+00:00,tx_dust_0037,203.0.113.88,124.239.91.232,53388,8333,NL,AS16509
net-rec-000089,2026-03-01T08:55:16+00:00,tx_dust_0038,203.0.113.88,74.63.19.69,58334,8333,NL,AS16509
net-rec-000090,2026-03-01T08:55:17+00:00,tx_dust_0039,203.0.113.88,174.148.92.173,59804,8333,NL,AS16509
net-rec-000091,2026-03-01T08:55:18+00:00,tx_dust_0040,203.0.113.88,59.83.89.153,58844,8333,NL,AS16509
net-rec-000092,2026-03-01T08:55:21+00:00,tx_dust_0041,203.0.113.88,112.167.147.51,53197,8333,NL,AS16509
net-rec-000093,2026-03-01T08:55:22+00:00,tx_dust_0042,203.0.113.88,20.188.207.148,50422,8333,NL,AS16509
net-rec-000094,2026-03-01T08:55:24+00:00,tx_dust_0043,203.0.113.88,125.246.102.1,54617,8333,NL,AS16509
net-rec-000095,2026-03-01T08:55:27+00:00,tx_dust_0044,203.0.113.88,30.186.84.203,57288,8333,NL,AS16509
net-rec-000096,2026-03-01T08:55:30+00:00,tx_dust_0045,203.0.113.88,106.106.196.163,57435,8333,NL,AS16509
net-rec-000097,2026-03-01T08:55:32+00:00,tx_dust_0046,203.0.113.88,178.7.198.79,51795,8333,NL,AS16509
net-rec-000098,2026-03-01T08:55:35+00:00,tx_dust_0047,203.0.113.88,111.38.34.87,51965,8333,NL,AS16509
net-rec-000099,2026-03-01T08:55:37+00:00,tx_dust_0048,203.0.113.88,116.109.94.90,57082,8333,NL,AS16509
net-rec-000100,2026-03-01T08:55:39+00:00,tx_dust_0049,203.0.113.88,88.2.77.253,51423,8333,NL,AS16509
net-rec-000101,2026-03-01T08:55:40+00:00,tx_dust_0050,203.0.113.88,67.55.220.81,51908,8333,NL,AS16509
net-rec-000102,2026-03-01T08:55:42+00:00,tx_dust_0051,203.0.113.88,112.167.147.51,51295,8333,NL,AS16509
net-rec-000103,2026-03-01T08:55:45+00:00,tx_dust_0052,203.0.113.88,134.144.51.125,53644,8333,NL,AS16509
net-rec-000104,2026-03-01T08:55:48+00:00,tx_dust_0053,203.0.113.88,151.103.130.87,55359,8333,NL,AS16509
net-rec-000105,2026-03-01T08:55:49+00:00,tx_dust_0054,203.0.113.88,108.21.200.15,55494,8333,NL,AS16509
net-rec-000106,2026-03-01T08:55:51+00:00,tx_dust_0055,203.0.113.88,187.180.148.210,58402,8333,NL,AS16509
net-rec-000107,2026-03-01T08:55:54+00:00,tx_dust_0056,203.0.113.88,189.34.196.35,51213,8333,NL,AS16509
net-rec-000108,2026-03-01T08:55:57+00:00,tx_dust_0057,203.0.113.88,67.111.75.202,55157,8333,NL,AS16509
net-rec-000109,2026-03-01T08:55:58+00:00,tx_dust_0058,203.0.113.88,30.186.84.203,51645,8333,NL,AS16509
net-rec-000110,2026-03-01T08:56:01+00:00,tx_dust_0059,203.0.113.88,134.144.51.125,58540,8333,NL,AS16509
net-rec-000111,2026-03-01T08:59:01+00:00,tx_fee_anomaly_0000,49.84.129.179,128.180.171.110,30261,8333,NL,AS16509
net-rec-000112,2026-03-01T09:03:01+00:00,tx_fee_anomaly_0001,35.153.165.77,121.212.186.83,45876,8333,SG,AS9009
net-rec-000113,2026-03-01T09:07:01+00:00,tx_fee_anomaly_0002,96.90.226.210,121.83.176.237,37018,8333,US,AS24940
net-rec-000114,2026-03-01T09:08:01+00:00,tx_fee_anomaly_0003,128.180.171.110,156.235.56.188,38620,8333,FR,AS24940
net-rec-000115,2026-03-01T09:10:01+00:00,tx_fee_anomaly_0004,116.109.94.90,187.211.71.236,37598,8333,IN,AS9009
net-rec-000116,2026-03-01T09:14:01+00:00,tx_fee_anomaly_0005,122.107.239.223,35.153.165.77,39680,8333,DE,AS16509
net-rec-000117,2026-03-01T09:15:01+00:00,tx_fee_anomaly_0006,156.235.56.188,134.45.125.212,40662,8333,NL,AS9009
net-rec-000118,2026-03-01T09:19:01+00:00,tx_fee_anomaly_0007,91.141.254.84,128.92.40.36,43044,8333,SG,AS24940
net-rec-000119,2026-03-01T09:23:01+00:00,tx_fee_anomaly_0008,67.55.220.81,108.21.200.15,37048,8333,CH,AS15169
net-rec-000120,2026-03-01T09:26:01+00:00,tx_fee_anomaly_0009,134.45.125.212,30.186.84.203,43063,8333,IN,AS15169
net-rec-000121,2026-03-01T09:29:01+00:00,tx_fee_anomaly_0010,128.180.171.110,187.211.71.236,44668,8333,CH,AS16509
net-rec-000122,2026-03-01T09:31:01+00:00,tx_fee_anomaly_0011,21.82.139.145,157.40.25.10,34234,8333,FR,AS8075
net-rec-000123,2026-03-01T09:32:01+00:00,tx_fee_anomaly_0012,189.34.196.35,111.38.34.87,40921,8333,GB,AS8075
net-rec-000124,2026-03-01T09:33:01+00:00,tx_fee_anomaly_0013,76.93.247.116,166.62.145.140,47553,8333,CH,AS9009
net-rec-000125,2026-03-01T09:35:01+00:00,tx_fee_anomaly_0014,156.235.56.188,125.246.102.1,48119,8333,NL,AS15169
net-rec-000126,2026-03-01T09:36:01+00:00,tx_fee_anomaly_0015,108.21.200.15,87.24.147.103,45889,8333,US,AS16509
net-rec-000127,2026-03-01T09:39:01+00:00,tx_fee_anomaly_0016,15.133.35.228,128.180.171.110,38927,8333,DE,AS24940
net-rec-000128,2026-03-01T09:43:01+00:00,tx_fee_anomaly_0017,179.41.137.154,151.103.130.87,32421,8333,CA,AS9009
net-rec-000129,2026-03-01T09:47:01+00:00,tx_fee_anomaly_0018,178.7.198.79,121.212.186.83,33131,8333,FR,AS24940
net-rec-000130,2026-03-01T09:49:01+00:00,tx_fee_anomaly_0019,30.186.84.203,108.21.200.15,30767,8333,IN,AS13335
net-rec-000131,2026-03-01T17:37:33+00:00,tx_peel_0023,41.223.198.59,49.84.129.179,46082,8333,DE,AS24940
net-rec-000132,2026-03-01T17:38:02+00:00,,174.148.92.173,23.141.103.68,31397,8333,NL,AS13335
net-rec-000133,2026-03-01T17:38:40+00:00,,32.122.147.191,19.252.73.153,59762,8333,GB,AS9009
net-rec-000134,2026-03-01T17:39:25+00:00,tx_norm_000370,67.40.13.173,106.106.196.163,54092,8333,CA,AS15169
net-rec-000135,2026-03-01T17:39:46+00:00,tx_norm_000918,128.92.40.36,121.212.186.83,27720,8333,FR,AS8075
net-rec-000136,2026-03-01T17:40:16+00:00,tx_norm_000562,112.167.147.51,87.24.147.103,29649,8333,FR,AS13335
net-rec-000137,2026-03-01T17:40:53+00:00,tx_norm_000444,111.249.115.193,74.60.66.208,56085,8333,FR,AS24940
net-rec-000138,2026-03-01T17:41:18+00:00,tx_dust_0023,54.253.90.158,41.223.198.59,20978,8333,JP,AS24940
net-rec-000139,2026-03-01T17:41:27+00:00,tx_norm_000702,116.109.94.90,112.167.147.51,32470,8333,CA,AS13335
net-rec-000140,2026-03-01T17:42:06+00:00,tx_norm_000945,32.103.129.112,189.34.196.35,32585,8333,IN,AS24940
net-rec-000141,2026-03-01T17:42:43+00:00,tx_norm_000601,134.144.51.125,67.55.220.81,53359,8333,US,AS15169
net-rec-000142,2026-03-01T17:42:56+00:00,tx_norm_000229,153.107.192.28,108.14.79.135,8080,8333,CH,AS24940
net-rec-000143,2026-03-01T17:43:03+00:00,,91.141.254.84,108.21.200.15,45374,8333,NL,AS15169
net-rec-000144,2026-03-01T17:43:11+00:00,tx_norm_000833,21.82.139.145,37.43.203.47,21670,8333,DE,AS24940
net-rec-000145,2026-03-01T17:43:47+00:00,tx_norm_000663,67.55.220.81,151.103.130.87,59749,8333,GB,AS15169
net-rec-000146,2026-03-01T17:44:19+00:00,tx_norm_000181,158.23.29.172,158.23.29.172,32838,8333,FR,AS24940
net-rec-000147,2026-03-01T17:45:03+00:00,tx_norm_000147,37.43.203.47,49.84.129.179,34451,8333,IN,AS13335
net-rec-000148,2026-03-01T17:45:07+00:00,,134.45.125.212,87.24.147.103,38448,8333,SG,AS15169
net-rec-000149,2026-03-01T17:45:38+00:00,,32.122.147.191,111.249.115.193,46977,8333,SG,AS8075
net-rec-000150,2026-03-01T17:45:49+00:00,tx_norm_000568,112.167.147.51,32.122.147.191,52249,8333,JP,AS24940
net-rec-000151,2026-03-01T17:45:55+00:00,,178.218.155.238,151.103.130.87,59439,8333,IN,AS15169
net-rec-000152,2026-03-01T17:46:23+00:00,,163.148.130.24,76.93.247.116,24401,8333,NL,AS16509
net-rec-000153,2026-03-01T17:46:55+00:00,tx_norm_000959,106.106.196.163,128.92.40.36,40591,8333,SG,AS16509
net-rec-000154,2026-03-01T17:47:20+00:00,,87.24.147.103,54.253.90.158,55696,8333,DE,AS24940
net-rec-000155,2026-03-01T17:47:23+00:00,tx_norm_000920,178.7.198.79,179.41.137.154,26662,8333,FR,AS16509
net-rec-000156,2026-03-01T17:47:26+00:00,tx_norm_000224,32.103.129.112,111.249.115.193,53639,8333,GB,AS16509
net-rec-000157,2026-03-01T17:47:58+00:00,tx_norm_000587,128.92.40.36,125.246.102.1,32477,8333,JP,AS15169
net-rec-000158,2026-03-01T17:48:43+00:00,tx_norm_000314,88.2.77.253,158.23.29.172,31055,8333,FR,AS13335
net-rec-000159,2026-03-01T17:48:49+00:00,tx_norm_000405,16.198.211.242,30.186.84.203,26194,8333,IN,AS13335
net-rec-000160,2026-03-01T17:48:55+00:00,tx_norm_000209,163.148.130.24,87.24.147.103,26659,8333,JP,AS8075
net-rec-000161,2026-03-01T17:49:04+00:00,,59.83.89.153,111.249.115.193,52745,8333,CA,AS16509
net-rec-000162,2026-03-01T17:49:18+00:00,tx_norm_000853,166.62.145.140,59.83.89.153,52215,8333,FR,AS8075
net-rec-000163,2026-03-01T17:49:32+00:00,tx_norm_000198,88.2.77.253,166.62.145.140,47516,8333,FR,AS8075
net-rec-000164,2026-03-01T17:49:56+00:00,tx_norm_000503,134.144.51.125,134.45.125.212,59747,8333,NL,AS24940
net-rec-000165,2026-03-01T17:50:13+00:00,,122.107.239.223,121.83.176.237,27535,8333,CA,AS16509
net-rec-000166,2026-03-01T17:50:50+00:00,tx_norm_000326,156.235.56.188,178.218.155.238,9050,8333,JP,AS9009
