record_id,timestamp,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,src_ip,dst_ip,src_port,dst_port,geo_country,asn
tx-rec-000000,2026-01-01T10:00:27+00:00,tx_norm_000000,"[""bc1qyqemyaetupurpjnfdd67yh853v4suw2cs5e6us""]","[""bc1qrzytdt0kgppluy480wkx83uxaf5yah4w5gpryf""]",[1.326918],[1.326818],0.0001,P2WPKH,63.184.150.126,74.175.194.153,49776,8333,US,AS15169
tx-rec-000001,2026-01-01T10:01:31+00:00,tx_norm_000001,"[""bc1qz5dkcg984aem8v6clcshjha0yjy7d2hwnhkvfw""]","[""bc1qqdg9h7kxq5ml8pjn2fq4s0kxfxwh7ycnx3lkrx""]",[1.365769],[1.365669],0.0001,P2WPKH,63.184.150.126,34.231.131.115,51342,8333,US,AS15169
tx-rec-000002,2026-01-01T10:01:55+00:00,tx_norm_000002,"[""bc1qvlhg62yhue3n25laz4smt8jggvzammry77p663""]","[""bc1qsjn93a9ck58qq3fkf7fwlqvse0dsvyfrkm88f0""]",[2.344252],[2.344152],0.0001,P2WPKH,39.16.213.141,31.135.115.136,53737,8333,US,AS15169
tx-rec-000003,2026-01-01T10:03:18+00:00,tx_norm_000003,"[""bc1q3p65c898syar0nq24aejwqa4xam855rmfkhkp7""]","[""bc1qvlq28a3849ndd79xnm6r6eznkpus82c97ywcne""]",[0.609359],[0.609259],0.0001,P2WPKH,,,,,,
tx-rec-000004,2026-01-01T10:04:39+00:00,tx_norm_000004,"[""bc1qxg98k9lwe8zj324ntf3ezjzv0rpk9n4fgyw9j6""]","[""bc1qdpsvrymdl7p84vdsltvzumn0xu96qac0vle5n0""]",[1.498584],[1.498484],0.0001,P2WPKH,31.135.115.136,34.231.131.115,53181,8333,US,AS15169
tx-rec-000005,2026-01-01T10:05:40+00:00,tx_norm_000005,"[""bc1ql7qs6mr4uy40apyeq3qn4svm4ztdfdjcvu4ynu""]","[""bc1qt6gfp8gargkathudyzgaejyut59nvk4vvas9w5""]",[0.5511],[0.551],0.0001,P2WPKH,31.135.115.136,49.43.84.219,49478,8333,US,AS15169
tx-rec-000006,2026-01-01T10:06:14+00:00,tx_norm_000006,"[""bc1q57cpjc6xcdsrnqm78k8zaa7qcdxt94pezuytaa""]","[""bc1qfy8gd02j8zd0xunt5auq5qg039ukrj4aa2ftg4""]",[0.8041699999999999],[0.80407],0.0001,P2WPKH,108.115.223.235,117.117.145.15,49888,8333,US,AS15169
tx-rec-000007,2026-01-01T10:08:11+00:00,tx_norm_000007,"[""bc1q07cvy9nezky4z6y94frcmjel9q0xkrrpd3pccv""]","[""bc1qz5dkcg984aem8v6clcshjha0yjy7d2hwnhkvfw""]",[1.308015],[1.307915],0.0001,P2WPKH,34.231.131.115,31.135.115.136,59387,8333,US,AS15169
tx-rec-000008,2026-01-01T10:10:08+00:00,tx_norm_000008,"[""bc1qqdg9h7kxq5ml8pjn2fq4s0kxfxwh7ycnx3lkrx""]","[""bc1qv3fn7qh8n0ss4f6yj28vgtpzmywmrjukwrh98n""]",[1.568823],[1.568723],0.0001,P2WPKH,119.89.180.17,31.135.115.136,52489,8333,US,AS15169
tx-rec-000009,2026-01-01T10:11:53+00:00,tx_norm_000009,"[""bc1qwgtnch524wcqj68ggj6dafcmtn34parpxvcl5d""]","[""bc1qsns7kxgq4zm86kk3zxg4uhqj9uz8kexjwv9tfx""]",[1.743908],[1.743808],0.0001,P2WPKH,25.117.34.132,76.210.1.191,57626,8333,US,AS15169
tx-rec-000010,2026-01-01T10:12:58+00:00,tx_norm_000010,"[""bc1qqfry9tkhfr9vu3w8gme0v67tcwq90y3rhsqnht""]","[""bc1ql7qs6mr4uy40apyeq3qn4svm4ztdfdjcvu4ynu""]",[0.758934],[0.758834],0.0001,P2WPKH,66.149.19.12,31.135.115.136,53522,8333,US,AS15169
tx-rec-000011,2026-01-01T10:13:56+00:00,tx_norm_000011,"[""bc1qt6gfp8gargkathudyzgaejyut59nvk4vvas9w5""]","[""bc1qwgtnch524wcqj68ggj6dafcmtn34parpxvcl5d""]",[0.343991],[0.343891],0.0001,P2WPKH,144.114.30.175,154.119.173.207,42590,8333,US,AS15169
tx-rec-000012,2026-01-01T10:14:58+00:00,tx_norm_000012,"[""bc1qvm8x5g990twp6gdlnf9v7eh8llzazp9lpr2mhw""]","[""bc1qf98xgvk2zuzxv6h7e2ez9tgfyzkq5aylkr2ljv""]",[1.343832],[1.343732],0.0001,P2WPKH,31.135.115.136,25.117.34.132,59823,8333,US,AS15169
tx-rec-000013,2026-01-01T10:16:20+00:00,tx_norm_000013,"[""bc1qxg98k9lwe8zj324ntf3ezjzv0rpk9n4fgyw9j6""]","[""bc1qf98xgvk2zuzxv6h7e2ez9tgfyzkq5aylkr2ljv""]",[0.47862699999999997],[0.478527],0.0001,P2WPKH,180.224.139.35,108.115.223.235,47111,8333,US,AS15169
tx-rec-000014,2026-01-01T10:17:26+00:00,tx_norm_000014,"[""bc1qcpe6g5m0el0n5g2e7csesu930kzdnsnsy7055p""]","[""bc1qn5hzcqnvvvecqsv23nxzrf4nvgqw2tad5jlt63""]",[0.765038],[0.764938],0.0001,P2WPKH,144.114.30.175,63.184.150.126,55693,8333,US,AS15169
tx-rec-000015,2026-01-01T10:18:02+00:00,tx_norm_000015,"[""bc1qrsdel7k3js9zp4zetcys7jj25chgmjcm6zracu""]","[""bc1qnt3sga272xjzk9s7dsvc4dwrwezhhxjtr3mukc""]",[1.762484],[1.762384],0.0001,P2WPKH,63.184.150.126,19.74.105.47,49275,8333,US,AS15169
tx-rec-000016,2026-01-01T10:18:55+00:00,tx_norm_000016,"[""bc1qdpsvrymdl7p84vdsltvzumn0xu96qac0vle5n0""]","[""bc1qt6gfp8gargkathudyzgaejyut59nvk4vvas9w5""]",[1.625416],[1.625316],0.0001,P2WPKH,154.119.173.207,28.253.240.121,55270,8333,US,AS15169
tx-rec-000017,2026-01-01T10:19:12+00:00,tx_norm_000017,"[""bc1q57cpjc6xcdsrnqm78k8zaa7qcdxt94pezuytaa""]","[""bc1qr7fcdrsl326mp9phg9s4faphp2em0a759c0r6e""]",[1.906556],[1.906456],0.0001,P2WPKH,144.114.30.175,89.186.6.102,53563,8333,US,AS15169
tx-rec-000018,2026-01-01T10:19:22+00:00,tx_norm_000018,"[""bc1qfy8gd02j8zd0xunt5auq5qg039ukrj4aa2ftg4""]","[""bc1ql7qs6mr4uy40apyeq3qn4svm4ztdfdjcvu4ynu""]",[1.855818],[1.855718],0.0001,P2WPKH,,,,,,
tx-rec-000019,2026-01-01T10:20:37+00:00,tx_norm_000019,"[""bc1qwm0j85fm8fp3z3jjzkehnz90tdrnsrc2ku6sgq""]","[""bc1qnt3sga272xjzk9s7dsvc4dwrwezhhxjtr3mukc""]",[1.80293],[1.80283],0.0001,P2WPKH,144.114.30.175,154.119.173.207,52446,8333,US,AS15169
tx-rec-000020,2026-01-01T10:21:54+00:00,tx_norm_000020,"[""bc1qqfry9tkhfr9vu3w8gme0v67tcwq90y3rhsqnht""]","[""bc1qu857msn6shssgxlnmvn53ga92jag2u3vvmjgkt""]",[1.3812],[1.3811],0.0001,P2WPKH,117.117.145.15,34.231.131.115,56075,8333,US,AS15169
tx-rec-000021,2026-01-01T10:22:57+00:00,tx_norm_000021,"[""bc1qraafea5fypwmak0aflngg7hwt63jncusp8708h""]","[""bc1qqdg9h7kxq5ml8pjn2fq4s0kxfxwh7ycnx3lkrx""]",[1.989589],[1.989489],0.0001,P2WPKH,180.224.139.35,28.253.240.121,46030,8333,US,AS15169
tx-rec-000022,2026-01-01T10:24:55+00:00,tx_norm_000022,"[""bc1qyqemyaetupurpjnfdd67yh853v4suw2cs5e6us""]","[""bc1qakj6y5prmulu02nlnsfnhnayhtpa32gh7mcqrv""]",[2.3936200000000003],[2.39352],0.0001,P2WPKH,103.20.235.145,107.97.21.175,40209,8333,US,AS15169
