record_id,timestamp,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type
tx-rec-000000,2026-03-01T08:00:59+00:00,tx_peel_0000,"[""bc1qpeelutmgx8p5r3r8m5uactahcr7kskmzqpewj927q9""]","[""bc1qpeelhopgy3ppxd4awezjqwhm37ykq2xahr0pdazz929ez"", ""bc1qpeelpgym0znycrryl72nc23yee6yv3v6sasn4hftap""]",[50.0],"[0.21614, 49.78376]",0.0001,P2WPKH
tx-rec-000001,2026-03-01T08:02:11+00:00,tx_peel_0001,"[""bc1qpeelpgym0znycrryl72nc23yee6yv3v6sasn4hftap""]","[""bc1qpeelhopzyy8ce5rjpvpflfamg5nlp75qwxfxsnl63kr6u"", ""bc1qpeeld7ge9m3fd6n3jzpnqxjn3g3tazpa8flkxjjfgr""]",[49.78376],"[0.069222, 49.714438]",0.0001,P2WPKH
tx-rec-000002,2026-03-01T08:03:03+00:00,tx_peel_0002,"[""bc1qpeeld7ge9m3fd6n3jzpnqxjn3g3tazpa8flkxjjfgr""]","[""bc1qpeelhop50czyarunr5750zmmmm803s5vhn6eh68fzxy8p"", ""bc1qpeel3j4p66e3walgpm9yv66rmv4k046hqvymhmzdpq""]",[49.714438],"[0.100972, 49.613366]",0.0001,P2WPKH
tx-rec-000003,2026-03-01T08:03:38+00:00,tx_peel_0003,"[""bc1qpeel3j4p66e3walgpm9yv66rmv4k046hqvymhmzdpq""]","[""bc1qpeelhop776ygmqvwfsmureylknq24gww8kz2esy7gwsa6"", ""bc1qpeel040zv7nnfnt7agh065qyhvl7lu20nqzvrmkahh""]",[49.613366],"[0.075018, 49.538248]",0.0001,P2WPKH
tx-rec-000004,2026-03-01T08:04:22+00:00,tx_peel_0004,"[""bc1qpeel040zv7nnfnt7agh065qyhvl7lu20nqzvrmkahh""]","[""bc1qpeelhopaxqwgn3j6lwkec0gwww3cnq6r3qn3qrzm6k26c"", ""bc1qpeeljfc3wfhhydq0a7d88xcmup5aqyuprttvmarp57""]",[49.538248],"[0.192858, 49.34529]",0.0001,P2WPKH
tx-rec-000005,2026-03-01T08:04:58+00:00,tx_peel_0005,"[""bc1qpeeljfc3wfhhydq0a7d88xcmup5aqyuprttvmarp57""]","[""bc1qpeelhopvv65s2arya6wy0s0hhtmh7pggm0w9nu762d52l"", ""bc1qpeelyh8kzd9p6vjtc48khztsskwvvm42ytysztmv4k""]",[49.34529],"[0.208696, 49.136494]",0.0001,P2WPKH
tx-rec-000006,2026-03-01T08:05:38+00:00,tx_peel_0006,"[""bc1qpeelyh8kzd9p6vjtc48khztsskwvvm42ytysztmv4k""]","[""bc1qpeelhopmc34z6apqlkyrd2scwusu3h4vcf772lzj3rmtq"", ""bc1qpeelvx6agjr4nc5vgfs8tcj3dsdp5sf8tffgvtd050""]",[49.136494],"[0.175985, 48.960409]",0.0001,P2WPKH
tx-rec-000007,2026-03-01T08:07:08+00:00,tx_peel_0007,"[""bc1qpeelvx6agjr4nc5vgfs8tcj3dsdp5sf8tffgvtd050""]","[""bc1qpeelhopfv9lmxmhrhtw8a74gtr7mf2dt7nq93aks4cely"", ""bc1qpeelcesfe2x5lzztwzfwqvrcduwm5enwmmgdtnsw3k""]",[48.960409],"[0.063916, 48.896393]",0.0001,P2WPKH
tx-rec-000008,2026-03-01T08:08:11+00:00,tx_peel_0008,"[""bc1qpeelcesfe2x5lzztwzfwqvrcduwm5enwmmgdtnsw3k""]","[""bc1qpeelhopu7uxhh255gvwgux2jlpk0lcxt35ucek6m64tav"", ""bc1qpeela3kjs60tl8srz42dnd2n4argztzlwnkmdatqpq""]",[48.896393],"[0.248385, 48.647908]",0.0001,P2WPKH
tx-rec-000009,2026-03-01T08:08:47+00:00,tx_peel_0009,"[""bc1qpeela3kjs60tl8srz42dnd2n4argztzlwnkmdatqpq""]","[""bc1qpeelhopq93wduaj6d273jtw5chvacs4zjz72ev4a2vvcw"", ""bc1qpeellud4qu32whgdjlje9hfgxhzu55q5qv47hrydym""]",[48.647908],"[0.115569, 48.532239]",0.0001,P2WPKH
